userid	timestamp
984429	2010-11-04T18:29:22Z
429625	2010-10-29T16:35:24Z
12723505	2010-10-29T16:31:17Z
10644856	2010-10-28T18:57:08Z
9021902	2010-10-23T03:53:27Z
12292932	2010-10-23T00:12:05Z
0	2010-10-23T00:11:59Z
12292932	2010-10-23T00:11:00Z
0	2010-10-23T00:10:55Z
8125541	2010-10-23T00:09:35Z
0	2010-10-23T00:09:29Z
12292932	2010-10-23T00:08:58Z
0	2010-10-23T00:08:49Z
13270105	2010-10-18T22:55:26Z
6163802	2010-10-18T14:44:22Z
0	2010-10-18T14:33:38Z
89336	2010-10-15T18:54:06Z
0	2010-10-12T02:04:31Z
4358889	2010-10-08T23:49:14Z
0	2010-10-08T23:25:57Z
13170751	2010-10-08T03:42:32Z
7737019	2010-10-07T14:55:02Z
5680311	2010-10-06T15:59:29Z
7737019	2010-10-06T08:57:01Z
7737019	2010-09-25T18:59:39Z
10996774	2010-09-25T09:04:19Z
0	2010-09-19T12:28:46Z
0	2010-09-17T17:00:54Z
6374305	2010-08-29T21:54:40Z
7737019	2010-08-29T16:49:07Z
9768394	2010-08-25T16:28:16Z
1808194	2010-08-25T01:29:11Z
0	2010-08-25T00:37:39Z
0	2010-08-25T00:36:26Z
1808194	2010-08-25T00:28:28Z
0	2010-08-24T23:42:07Z
19556	2010-08-21T08:43:42Z
1808194	2010-08-13T19:26:36Z
6657615	2010-08-09T14:04:09Z
0	2010-08-08T01:18:33Z
0	2010-08-08T01:14:19Z
6657615	2010-08-07T19:33:51Z
6657615	2010-08-07T19:28:55Z
7320905	2010-07-27T11:36:14Z
142435	2010-07-25T15:30:18Z
0	2010-07-24T20:27:59Z
597345	2010-07-21T14:18:29Z
0	2010-07-19T22:21:58Z
1679164	2010-07-18T16:25:42Z
0	2010-07-18T12:05:12Z
8769353	2010-07-07T23:39:52Z
8001475	2010-07-04T21:06:33Z
1011889	2010-06-27T13:48:57Z
86163	2010-06-27T03:53:32Z
5310681	2010-06-26T02:58:58Z
1011889	2010-06-25T20:19:58Z
1011889	2010-06-24T11:53:41Z
4440137	2010-06-21T23:35:21Z
4358889	2010-06-03T00:35:47Z
977984	2010-06-02T23:16:44Z
1721308	2010-05-31T03:44:10Z
203434	2010-05-22T08:48:04Z
0	2010-05-21T04:08:58Z
12242445	2010-05-14T03:02:45Z
12242445	2010-05-14T03:01:27Z
8066546	2010-05-09T22:51:21Z
6374305	2010-05-06T03:43:34Z
6374305	2010-05-06T03:42:31Z
0	2010-05-01T21:49:50Z
597345	2010-04-28T21:31:32Z
597345	2010-04-28T21:26:48Z
0	2010-04-27T00:19:21Z
0	2010-04-26T19:00:09Z
99452	2010-04-24T07:41:17Z
10996774	2010-04-23T15:35:34Z
0	2010-04-15T14:26:13Z
147354	2010-04-12T17:14:03Z
1664625	2010-04-06T11:44:13Z
84053	2010-04-05T18:51:11Z
9021902	2010-03-28T11:11:24Z
1808194	2010-03-25T03:58:36Z
597345	2010-03-24T23:02:46Z
0	2010-03-23T15:11:43Z
1808194	2010-03-22T21:09:28Z
1808194	2010-03-22T21:08:32Z
1808194	2010-03-22T21:07:10Z
9021902	2010-03-22T13:37:51Z
0	2010-03-21T13:19:29Z
0	2010-03-21T12:55:15Z
214489	2010-03-19T21:30:38Z
1011889	2010-03-17T21:30:33Z
11509378	2010-03-17T18:16:16Z
1808194	2010-03-12T17:57:12Z
1808194	2010-03-12T17:37:22Z
1808194	2010-03-08T17:19:37Z
0	2010-03-08T11:38:44Z
1808194	2010-03-07T03:32:07Z
1808194	2010-03-07T03:27:29Z
0	2010-03-06T08:34:26Z
0	2010-03-06T08:32:45Z
0	2010-03-06T08:32:20Z
218057	2010-03-03T05:56:36Z
1808194	2010-03-02T16:09:20Z
1808194	2010-03-02T16:01:07Z
0	2010-03-01T14:16:41Z
1011889	2010-02-27T17:14:33Z
0	2010-02-27T17:02:21Z
9021902	2010-02-26T17:32:59Z
364847	2010-02-22T07:10:56Z
0	2010-02-15T22:26:57Z
1011889	2010-02-13T00:05:20Z
0	2010-02-12T23:04:37Z
364847	2010-02-12T10:27:36Z
1004750	2010-02-11T23:31:43Z
11673190	2010-02-11T23:31:34Z
11673190	2010-02-11T23:30:09Z
433328	2010-01-24T17:48:21Z
1223962	2010-01-22T20:56:10Z
1741963	2010-01-21T06:51:58Z
0	2010-01-18T12:14:58Z
